,,,人口密度,人口,面積(km2),
455,栃木県,鹿沼市,191.6537584,94033,49064,3.012636416
456,栃木県,日光市,53.56559045,77661,144983,2.029293509
457,栃木県,小山市,970.3988355,166666,17175,4.133831132
458,栃木県,真岡市,467.2523007,78190,16734,3.717978173
459,栃木県,大田原市,203.4287166,72087,35436,3.065479609
460,栃木県,矢板市,182.8288161,31165,17046,2.957495692
461,栃木県,那須塩原市,194.3685258,115210,59274,3.035611717
462,栃木県,さくら市,354.3182361,44513,12563,3.534175761
463,栃木県,那須烏山市,142.6727846,24875,17435,2.77369328
464,栃木県,下野市,797.7879072,59507,7459,4.025847214
465,栃木県,上三川町,566.3908807,30806,5439,3.860425043
466,栃木県,益子町,244.9440716,21898,8940,3.22630672
467,栃木県,茂木町,68.8574903,11891,17269,2.213095922
468,栃木県,市貝町,175.2840467,11262,6425,2.92533027
469,栃木県,芳賀町,213.2411631,14961,7016,3.118322803
470,栃木県,壬生町,646.4788732,39474,6106,3.933946008
471,栃木県,野木町,823.0260984,24913,3027,4.048822516
